  Sample number,   Speed(km/hr),Fuel Consumption(ml/sec),CO2 Emission(mg/sec)
1,0,1.13,2624.72
2,1.7,1.37,3180.87
3,2.54,1.18,2743.5
4,3.12,1.57,3655.93
5,2.86,1.49,3460.67
6,9.3,3.6,8382.62
7,10.43,3,6983.71
8,11.56,3.86,8971.36
9,15.64,3.64,8475.07
10,16.48,3.87,9001.59
11,17.19,5.39,12536.11
12,17.33,4.46,10371.44
13,22.34,7.74,18006.88
14,21.93,7.6,17680.25
15,21.73,5.73,13322.3
16,27.17,2.59,6020.83
17,26.11,7.75,18035.66
18,26.44,6.47,15044.55
19,27.3,2.28,5297.24
20,5.84,2.4,5584.19
21,6.76,1.89,4407.81
22,27.64,3.67,8549.24
23,19.88,7.02,16330.06
24,18.22,4.79,11147.94
25,12.9,4.54,10553.88
26,6.59,2.74,6385.81
27,8.26,2.83,6578.98
